,Player,Age,League,Club,Position,Value,Overall,Shooting,Passing,Dribbling,Defending,Physical
226,Ramon Hendriks,21,Eredivisie,Feyenoord Rotterdam,Defender,6700000.0,28.93,5.41,16.92,11.95,32.5,54.35
227,Abner,22,Jupiler Pro League,RWD Molenbeek,Defender,6600000.0,39.72,21.73,26.16,27.45,27.71,77.57
228,Benaissa Benamar,25,Eredivisie,FC Volendam,Defender,6575000.0,65.45,59.68,48.81,59.13,47.37,94.17
229,Mats Deijl,25,Eredivisie,Go Ahead Eagles,Defender,6575000.0,67.5,61.88,58.59,66.65,59.29,82.17
230,Scott McKenna,25,Premier League,Nottingham Forest,Defender,6500000.0,65.03,34.27,68.48,39.84,81.48,70.32
231,Tibor Halilovic,27,Eredivisie,SC Heerenveen,midfield,6500000.0,43.9,40.94,40.62,45.27,26.51,48.75
232,Raphael Framberger,26,Bundesliga,FC Augsburg,Defender,6500000.0,51.99,3.61,68.5,5.08,81.5,52.87
233,Peer Koopmeiners,22,Eredivisie,AZ Alkmaar,midfield,6400000.0,48.0,40.65,36.22,43.75,58.58,49.03
234,Bas Kuipers,27,Eredivisie,Go Ahead Eagles,Defender,6350000.0,56.03,45.51,49.85,49.83,46.3,78.14
235,Jens Toornstra,33,Eredivisie,FC Utrecht,midfield,6300000.0,68.17,63.86,65.98,70.99,47.4,71.86
236,Pelle Clement,26,Eredivisie,Sparta Rotterdam,midfield,6300000.0,76.6,76.24,65.6,80.47,50.46,84.09
237,Couhaib Driouech,20,Eredivisie,Excelsior Rotterdam,Attack,6275000.0,74.42,76.37,59.33,77.71,55.32,84.28
238,Calvin Twigt,19,Eredivisie,FC Volendam,midfield,6250000.0,40.92,42.7,35.38,38.81,39.09,43.1
239,Nicolai Rapp,25,Bundesliga,SV Werder Bremen,midfield,6200000.0,12.89,13.53,8.92,13.52,8.82,15.57
240,Daan Rots,21,Eredivisie,Twente Enschede FC,Attack,6200000.0,51.39,47.41,48.88,54.45,39.37,54.81
241,Johan Gastien,34,Ligue 1,Clermont Foot 63,midfield,6200000.0,73.66,79.14,61.11,73.86,57.69,80.53
242,Fredrik Oppegard,19,Eredivisie,PSV Eindhoven,Defender,6100000.0,37.15,12.76,16.81,16.58,50.29,64.91
243,Dirk Abels,25,Eredivisie,Sparta Rotterdam,Defender,6100000.0,60.64,49.32,52.01,55.52,48.09,85.73
244,Siebe Horemans,24,Eredivisie,Excelsior Rotterdam,Defender,6100000.0,73.61,64.86,61.83,71.04,71.17,87.36
245,Antoine Colassin,21,Jupiler Pro League,RSC Anderlecht,Attack,6050000.0,54.15,55.01,50.28,55.78,40.71,55.53
246,Arthur Zagre,20,Eredivisie,Excelsior Rotterdam,Defender,6000000.0,33.91,14.43,15.17,17.11,35.81,67.56
247,Santiago Bueno,23,La Liga,Girona FC,Defender,6000000.0,78.52,59.61,73.64,68.82,83.64,87.98
248,Vitaly Janelt,24,Premier League,Brentford FC,midfield,6000000.0,80.47,87.75,63.18,81.64,54.48,89.31
249,Lloyd Kelly,23,Premier League,AFC Bournemouth,Defender,6000000.0,75.44,39.68,82.08,46.28,95.08,78.32
250,Mergim Berisha,24,Bundesliga,FC Augsburg,Attack,6000000.0,55.01,58.47,44.25,57.04,30.19,60.27
251,Ermedin Demirovic,24,Bundesliga,FC Augsburg,Attack,6000000.0,69.79,73.13,56.31,71.74,42.22,77.98
252,Nuno Santos,27,Primeira Liga,Sporting CP,Attack,6000000.0,75.15,77.57,67.4,76.83,51.0,78.81
253,Josh Dasilva,23,Premier League,Brentford FC,midfield,6000000.0,84.52,90.65,70.07,87.22,45.88,90.14
254,Alessandro Buongiorno,23,Serie A,Torino FC,Defender,6000000.0,73.16,61.66,63.34,68.74,73.34,87.22
255,Cameron Archer,21,Premier League,Aston Villa,Attack,6000000.0,10.73,11.27,7.19,11.27,7.57,12.79
256,Amin Sarr,21,Ligue 1,Olympique Lyon,Attack,6000000.0,31.58,36.44,27.36,31.39,16.93,31.14
257,Adrien Truffert,20,Ligue 1,Stade Rennais FC,Defender,6000000.0,69.98,48.81,58.03,60.94,69.38,91.56
258,Anthony Rouault,21,Ligue 1,FC Toulouse,Defender,6000000.0,76.01,69.83,57.18,73.79,65.07,95.35
259,Yoane Wissa,25,Premier League,Brentford FC,Attack,6000000.0,86.81,95.78,66.5,89.02,48.68,95.94
260,Mohamed Sankoh,18,Bundesliga,VfB Stuttgart,Attack,6000000.0,49.77,50.97,43.59,52.96,25.58,51.56
261,Habib Diallo,27,Ligue 1,RC Strasbourg Alsace,Attack,6000000.0,85.07,94.46,64.48,87.54,47.13,93.8
262,Joris Kramer,25,Eredivisie,Go Ahead Eagles,Defender,5850000.0,49.06,37.92,38.65,45.09,35.01,74.57
263,Lorenzo Pirola,20,Serie A,US Salernitana 1919,Defender,5800000.0,70.42,51.46,66.82,51.86,76.82,86.21
264,Yunis Abdelhamid,34,Ligue 1,Stade Reims,Defender,5800000.0,80.44,66.31,62.76,77.02,82.79,95.63
265,Joan Gonzalez,20,Serie A,US Lecce,midfield,5750000.0,78.08,79.94,61.68,80.77,49.97,89.93
266,Yassin Oukili,21,Eredivisie,RKC Waalwijk,midfield,5750000.0,70.35,73.13,52.55,70.99,56.66,80.61
267,Thierry Lutonda,21,Eredivisie,RKC Waalwijk,Defender,5750000.0,70.66,60.39,57.71,68.08,69.7,84.46
268,Arianit Ferati,24,Eredivisie,Fortuna Sittard,midfield,5700000.0,62.85,61.89,54.89,65.11,51.33,69.53
269,Nick Viergever,32,Eredivisie,FC Utrecht,Defender,5700000.0,61.48,59.85,32.34,38.25,53.58,94.25
270,Brian Plat,22,Eredivisie,FC Volendam,Defender,5675000.0,65.65,50.61,47.86,58.59,77.26,76.12
271,Mimoun Mahi,28,Eredivisie,FC Utrecht,Attack,5600000.0,32.82,30.08,38.21,33.93,17.27,29.07
272,Reiss Nelson,22,Premier League,Arsenal FC,Attack,5500000.0,44.59,37.19,67.03,48.19,17.81,25.96
273,El Bilal Toure,20,Ligue 1,UD Almería,Attack,5500000.0,52.35,59.45,45.66,52.99,25.41,51.27
274,Erhan Masovic,23,Bundesliga,VfL Bochum,Defender,5500000.0,80.35,61.0,74.24,58.27,91.74,94.42
275,Hiroki Ito,23,Bundesliga,VfB Stuttgart,Defender,5500000.0,70.08,54.72,61.76,62.64,79.26,76.67
276,Fabiano Parisi,21,Serie A,FC Empoli,Defender,5500000.0,76.17,62.0,68.6,70.99,78.6,86.47
277,Deroy Duarte,23,Eredivisie,Fortuna Sittard,midfield,5250000.0,59.8,65.16,48.42,60.28,39.6,65.35
278,Dante,38,Ligue 1,OGC Nice,Defender,5200000.0,77.55,66.77,61.37,75.09,73.18,95.18
279,Thomas Buitink,22,Eredivisie,Vitesse Arnhem,Attack,5200000.0,30.77,27.69,31.2,32.29,16.57,31.9
280,Enzo Cornelisse,19,Eredivisie,Vitesse Arnhem,Defender,5100000.0,46.17,34.41,32.48,39.8,40.44,70.05
281,Kingsley Coman,26,Bundesliga,Bayern Munich,Attack,5000000.0,65.23,62.26,69.08,68.68,34.67,60.89
282,Sead Kolasinac,29,Serie A,Atalanta BC,Defender,5000000.0,76.74,65.65,72.35,68.3,82.35,83.93
283,Leroy Sane,26,Bundesliga,Bayern Munich,Attack,5000000.0,78.45,77.35,72.57,82.24,51.45,81.67
284,Otavio,27,Primeira Liga,FC Porto,midfield,5000000.0,71.8,67.09,75.41,73.54,58.66,71.17
285,Alidu Seidu,22,Ligue 1,Clermont Foot 63,Defender,5000000.0,66.58,48.77,46.65,56.71,66.28,94.57
286,Nicolas Gonzalez,24,Serie A,ACF Fiorentina,Attack,5000000.0,60.03,57.56,59.7,62.44,32.11,60.43
287,Enzo Millot,20,Bundesliga,VfB Stuttgart,midfield,5000000.0,56.01,50.05,55.45,59.81,43.61,58.71
288,Borja Iglesias,29,La Liga,Real Betis Balompié,Attack,5000000.0,79.01,88.05,59.07,80.71,42.07,88.21
289,Maghnes Akliouche,20,Ligue 1,AS Monaco,midfield,5000000.0,26.37,22.79,28.1,27.02,15.89,27.58
290,Ruben Dias,25,Premier League,Manchester City,Defender,5000000.0,77.13,45.17,78.94,52.2,91.94,85.45
291,David Neres,25,Primeira Liga,SL Benfica,Attack,5000000.0,78.03,75.34,75.32,83.65,42.6,77.79
292,Tyrell Malacia,22,Premier League,Manchester United,Defender,5000000.0,73.46,37.97,79.43,45.04,92.43,76.95
293,Boubacar Kamara,22,Premier League,Aston Villa,midfield,5000000.0,56.3,51.91,42.19,56.04,55.1,62.16
294,Taiwo Awoniyi,24,Premier League,Nottingham Forest,Attack,5000000.0,63.76,75.49,47.79,64.01,38.84,67.76
295,Theo Hernandez,24,Serie A,AC Milan,Defender,5000000.0,74.33,59.26,67.49,70.18,77.49,82.15
296,Moritz Jenz,23,Bundesliga,VfL Wolfsburg,Defender,5000000.0,59.43,18.34,63.29,22.57,76.29,75.56
297,Jack Grealish,26,Premier League,Manchester City,Attack,5000000.0,70.98,68.38,69.46,74.67,46.61,71.41
298,Robin Le Normand,25,La Liga,Real Sociedad,Defender,5000000.0,70.28,57.78,60.66,65.94,70.66,83.87
299,Marcel Sabitzer,28,Bundesliga,Bayern Munich,midfield,5000000.0,36.9,35.82,31.68,35.49,37.12,39.17
300,Marcos Senesi,25,Premier League,AFC Bournemouth,Defender,5000000.0,72.1,64.44,67.2,62.3,77.2,79.58
301,Ollie Watkins,26,Premier League,Aston Villa,Attack,5000000.0,85.68,93.11,67.16,89.21,49.02,93.24
302,Teun Koopmeiners,24,Serie A,Atalanta BC,midfield,5000000.0,81.63,82.15,75.72,84.03,60.21,84.62
303,Castello Lukeba,19,Ligue 1,Olympique Lyon,Defender,5000000.0,70.92,65.9,53.65,68.19,61.75,87.85
304,Aurelio Buta,25,Bundesliga,Eintracht Frankfurt,Defender,5000000.0,76.91,44.72,79.35,39.46,92.35,91.21
305,Ivan Ilic,21,Serie A,Torino FC,midfield,5000000.0,40.25,50.19,38.05,36.4,34.26,36.37
306,Hakan Calhanoglu,28,Serie A,Inter Milan,midfield,5000000.0,81.35,75.49,81.55,84.49,48.49,83.85
307,Ruben Loftus-Cheek,26,Serie A,AC Milan,midfield,5000000.0,56.68,54.22,49.82,60.07,43.27,62.64
308,Junior Dina Ebimbe,21,Bundesliga,Eintracht Frankfurt,midfield,5000000.0,46.0,47.99,36.54,44.27,42.86,48.88
309,Joachim Andersen,26,Premier League,Crystal Palace,Defender,5000000.0,69.77,58.35,61.2,64.58,71.2,82.11
310,Nicolo Barella,25,Serie A,Inter Milan,midfield,5000000.0,86.17,86.94,79.0,89.06,61.84,89.69
311,Martin Terrier,25,Ligue 1,Stade Rennais FC,Attack,5000000.0,45.65,48.03,47.55,46.26,40.76,40.5
312,Breel Embolo,25,Ligue 1,AS Monaco,Attack,5000000.0,77.97,87.38,64.41,79.61,41.96,80.47
313,Danilo Cataldi,27,Serie A,SS Lazio,midfield,5000000.0,64.11,63.2,52.68,67.02,43.31,73.52
314,Jefferson Lerma,27,Premier League,Crystal Palace,midfield,5000000.0,82.42,89.13,62.04,84.11,56.4,94.39
315,Andreas Christensen,26,La Liga,FC Barcelona,Defender,5000000.0,72.37,44.08,76.2,46.43,89.2,77.66
316,El Chadaille Bitshiabu,17,Ligue 1,Paris Saint-Germain,Defender,5000000.0,36.38,21.64,21.43,25.26,18.94,77.17
317,Davide Frattesi,22,Serie A,Inter Milan,midfield,5000000.0,83.07,86.16,68.17,85.73,61.95,92.2
318,Reece James,22,Premier League,Chelsea FC,Defender,5000000.0,66.34,30.03,65.0,38.67,75.0,86.7
319,Emmanuel Agbadou,25,Ligue 1,Stade Reims,Defender,5000000.0,67.04,50.61,51.05,59.43,79.71,77.95
320,Samuel Chukwueze,23,La Liga,Villarreal CF,Attack,5000000.0,89.51,87.49,79.6,98.08,46.86,92.86
321,Damon Mirani,26,Eredivisie,FC Volendam,Defender,4950000.0,66.18,62.28,55.62,64.27,59.62,78.57
322,Nathan Tjoe-A-On,20,Eredivisie,Excelsior Rotterdam,Defender,4875000.0,68.01,58.69,51.71,59.92,59.28,94.14
323,Carlos Baleba,18,Ligue 1,LOSC Lille,midfield,4850000.0,44.18,40.72,40.34,46.57,37.24,49.09
324,Evert Linthorst,22,Eredivisie,Go Ahead Eagles,midfield,4600000.0,54.51,55.36,46.2,55.07,47.77,59.84
325,Gijs Smal,24,Eredivisie,Twente Enschede FC,Defender,4600000.0,79.85,62.32,77.36,76.78,77.78,87.48
326,Enric Llansana,21,Eredivisie,Go Ahead Eagles,midfield,4600000.0,48.8,45.29,43.7,50.65,45.42,53.84
327,Paul Gladon,30,Eredivisie,Fortuna Sittard,Attack,4550000.0,62.54,66.95,51.82,64.4,33.77,67.0
328,Fran Garcia,22,La Liga,Real Madrid,Defender,4500000.0,87.24,70.04,85.23,80.26,85.23,98.24
329,Andre Amaro,19,Primeira Liga,Vitória Guimarães SC,Defender,4500000.0,66.08,50.39,44.35,54.33,67.89,91.72
330,Mitchell Weiser,28,Bundesliga,SV Werder Bremen,Defender,4500000.0,79.52,55.63,77.12,68.34,94.62,77.99
331,Ramiz Zerrouki,24,Eredivisie,Feyenoord Rotterdam,midfield,4500000.0,75.65,71.87,68.99,78.35,68.43,83.4
332,Ismael Doukoure,19,Ligue 1,RC Strasbourg Alsace,Defender,4500000.0,63.95,53.31,46.41,56.7,54.13,91.67
333,Ivo Pinto,32,Eredivisie,Fortuna Sittard,Defender,4500000.0,66.12,50.58,55.84,62.32,52.98,93.34
334,Gerrit Nauber,30,Eredivisie,Go Ahead Eagles,Defender,4450000.0,48.67,32.52,32.18,37.95,30.53,92.02
335,Andri Fannar Baldursson,20,Serie A,Bologna FC 1909,midfield,4400000.0,24.93,22.67,20.44,24.43,25.31,27.32
336,Rasmus Nicolaisen,25,Ligue 1,FC Toulouse,Defender,4200000.0,70.71,59.74,52.88,67.89,67.3,87.91
337,Bart Vriends,31,Eredivisie,Sparta Rotterdam,Defender,4150000.0,61.54,62.64,47.76,60.03,46.56,75.74
338,Jurien Gaari,28,Eredivisie,RKC Waalwijk,Defender,4100000.0,73.72,57.78,56.24,67.4,84.0,85.69
339,Henk Veerman,29,Eredivisie,FC Volendam,Attack,4100000.0,65.32,70.3,50.33,68.74,34.85,71.9
340,Finn Stokkers,26,Eredivisie,Go Ahead Eagles,Attack,4050000.0,59.04,57.0,57.7,61.63,32.78,59.84
341,Joe Scally,19,Bundesliga,Borussia Mönchengladbach,Defender,4000000.0,79.12,48.74,74.97,58.11,92.47,90.93
342,Stefan Posch,25,Serie A,Bologna FC 1909,Defender,4000000.0,74.37,61.8,77.5,64.06,77.5,78.44
343,Marshall Munetsi,26,Ligue 1,Stade Reims,midfield,4000000.0,78.92,81.21,65.9,81.44,52.83,87.11
344,Sinaly Diomande,21,Ligue 1,Olympique Lyon,Defender,4000000.0,60.31,41.57,39.11,48.17,68.59,82.91
345,Juan Miranda,22,La Liga,Real Betis Balompié,Defender,4000000.0,71.44,42.68,76.5,45.86,89.5,73.89
346,Dominic Solanke,24,Premier League,AFC Bournemouth,Attack,4000000.0,74.91,78.09,59.47,79.26,41.35,82.83
347,Quinten Timber,21,Eredivisie,Feyenoord Rotterdam,midfield,4000000.0,60.5,56.85,60.99,62.26,44.18,61.88
348,Fabio Carvalho,19,Bundesliga,RB Leipzig,midfield,4000000.0,33.84,37.16,33.14,33.79,21.74,31.26
349,Nicolas Dominguez,24,Serie A,Bologna FC 1909,midfield,4000000.0,74.16,72.31,63.3,74.88,68.09,81.37
350,Arnaud Kalimuendo,20,Ligue 1,Stade Rennais FC,Attack,4000000.0,68.38,75.35,53.13,70.17,37.9,74.89
351,Stijn Spierings,26,Ligue 1,RC Lens,midfield,4000000.0,82.4,83.35,63.52,84.04,68.32,93.9
352,Tiago Djalo,22,Ligue 1,LOSC Lille,Defender,4000000.0,57.42,48.95,39.66,49.92,46.69,84.1
353,Luke Shaw,27,Premier League,Manchester United,Defender,4000000.0,72.98,57.19,72.54,66.68,72.54,80.14
354,Jens Odgaard,23,Eredivisie,AZ Alkmaar,Attack,4000000.0,70.16,71.36,61.78,73.62,48.7,73.88
355,Taylor Booth,21,Eredivisie,FC Utrecht,midfield,4000000.0,58.41,56.46,54.94,61.0,42.33,61.23
356,Jesper Karlsson,24,Eredivisie,AZ Alkmaar,Attack,4000000.0,59.49,61.15,57.98,60.62,32.17,58.21
357,Nehuen Perez,22,Serie A,Udinese Calcio,Defender,4000000.0,79.35,65.2,79.86,68.79,79.86,88.87
358,Ludovic Blas,24,Ligue 1,Stade Rennais FC,midfield,4000000.0,88.42,85.83,79.87,93.86,52.03,94.12
359,Brandon Soppy,20,Serie A,Atalanta BC,Defender,4000000.0,61.38,25.4,56.7,37.1,69.7,82.03
360,Steven Bergwijn,24,Eredivisie,Ajax Amsterdam,Attack,4000000.0,79.94,80.04,75.57,83.97,41.49,80.2
361,Miguel Gutierrez,21,La Liga,Girona FC,Defender,4000000.0,77.65,64.66,70.67,72.54,80.67,86.71
362,Rodrigo Becao,26,Serie A,Udinese Calcio,Defender,4000000.0,75.61,53.55,85.02,56.97,85.02,75.43
363,Joe Gomez,25,Premier League,Liverpool FC,Defender,4000000.0,70.14,36.18,75.53,42.95,88.53,73.54
364,Rani Khedira,28,Bundesliga,1.FC Union Berlin,midfield,4000000.0,73.98,76.54,54.45,74.89,58.14,86.35
365,Chris Mepham,24,Premier League,AFC Bournemouth,Defender,4000000.0,69.38,45.26,64.54,51.36,74.54,87.07
366,Said Bakari,27,Eredivisie,Sparta Rotterdam,Defender,3950000.0,59.01,45.13,50.98,55.5,34.79,84.42
367,Florent Ogier,33,Ligue 1,Clermont Foot 63,Defender,3800000.0,59.48,45.09,42.05,52.29,54.19,86.33
368,Aitor Paredes,22,La Liga,Athletic Bilbao,Defender,3800000.0,64.74,27.26,64.74,31.46,77.74,85.01
369,Nikolas Agrafiotis,22,Eredivisie,Excelsior Rotterdam,Attack,3750000.0,41.2,43.5,37.26,42.27,20.8,41.79
370,Robson,22,Primeira Liga,SC Farense,Defender,3675000.0,21.32,9.02,7.63,10.14,8.15,57.97
371,Michiel Kramer,33,Eredivisie,RKC Waalwijk,Attack,3625000.0,64.5,73.75,51.47,64.61,33.1,68.19
372,Nordine Kandil,20,Ligue 1,RC Strasbourg Alsace,midfield,3600000.0,30.48,13.53,56.7,36.14,9.05,15.57
373,Mads Roerslev,23,Premier League,Brentford FC,Defender,3500000.0,69.9,34.27,77.87,40.88,90.87,70.01
374,Marvin Ducksch,28,Bundesliga,SV Werder Bremen,Attack,3500000.0,81.6,84.47,70.48,86.15,41.44,85.29
375,Janik Haberer,28,Bundesliga,1.FC Union Berlin,midfield,3500000.0,74.61,79.18,62.38,76.15,47.57,80.74
376,Vitor Carvalho,25,Primeira Liga,SC Braga,midfield,3500000.0,76.04,72.96,57.42,72.16,75.93,83.12
377,Santi Comesana,25,La Liga,Villarreal CF,midfield,3500000.0,82.91,83.31,71.88,85.69,66.18,90.74
378,Andreas Hanche-Olsen,25,Bundesliga,1.FSV Mainz 05,Defender,3500000.0,68.89,34.81,66.44,33.73,83.94,90.38
379,Julian Chabot,24,Bundesliga,1.FC Köln,Defender,3500000.0,64.9,36.23,62.8,42.33,80.3,74.18
380,Facundo Pellistri,20,Premier League,Manchester United,Attack,3500000.0,10.5,6.76,13.34,14.1,5.43,7.81
381,Sergio Akieme,24,Ligue 1,UD Almería,Defender,3500000.0,64.77,52.49,51.88,60.69,45.8,94.01
382,Domagoj Bradaric,22,Serie A,US Salernitana 1919,Defender,3500000.0,77.78,54.13,77.33,64.89,90.33,78.55
383,Ismael Gharbi,18,Ligue 1,Paris Saint-Germain,midfield,3500000.0,18.01,11.5,27.84,19.01,7.92,13.7
384,Alexis Flips,22,Ligue 1,Stade Reims,Attack,3500000.0,80.39,77.72,74.74,83.38,56.27,85.7
385,Edimilson Fernandes,26,Bundesliga,1.FSV Mainz 05,midfield,3500000.0,70.07,70.12,55.36,73.67,53.49,81.14
386,Yukinari Sugawara,22,Eredivisie,AZ Alkmaar,Defender,3500000.0,70.15,59.33,64.18,68.12,68.55,79.76
387,Marius Wolf,27,Bundesliga,Borussia Dortmund,Defender,3500000.0,79.58,45.29,82.4,57.22,95.4,83.32
388,Michael Gregoritsch,28,Bundesliga,SC Freiburg,Attack,3500000.0,71.33,76.08,60.34,73.17,36.82,75.72
389,Sam Beukema,23,Serie A,Bologna FC 1909,Defender,3500000.0,68.02,52.75,61.75,52.19,71.75,85.85
390,Patrick Ciurria,27,Serie A,AC Monza,Attack,3400000.0,81.93,86.51,65.23,84.69,54.54,91.3
391,Patrick Vroegh,22,Eredivisie,RKC Waalwijk,midfield,3350000.0,39.24,33.82,41.4,41.56,34.54,39.48
392,Pasquale Mazzocchi,27,Serie A,US Salernitana 1919,Defender,3300000.0,81.37,51.83,81.13,61.75,94.13,88.47
393,Bilal Ould-Chikh,25,Eredivisie,FC Volendam,Attack,3250000.0,44.08,42.49,43.75,46.75,22.32,43.34
394,Oskar Buur,24,Eredivisie,FC Volendam,Defender,3250000.0,47.74,37.37,34.51,34.54,30.07,84.54
395,Jacopo Fazzini,19,Serie A,FC Empoli,midfield,3250000.0,49.86,45.19,46.9,51.71,46.99,53.85
396,Robert Muhren,33,Eredivisie,FC Volendam,Attack,3200000.0,64.21,67.05,53.64,66.52,34.75,69.61
397,Boubacar Traore,20,Premier League,Wolverhampton Wanderers,midfield,3200000.0,23.13,20.29,22.67,24.53,18.91,25.04
398,Sven Mijnans,22,Eredivisie,AZ Alkmaar,midfield,3150000.0,41.14,42.04,43.01,41.17,31.02,38.34
399,Patrick Osterhage,22,Bundesliga,VfL Bochum,midfield,3100000.0,50.81,49.6,38.92,51.72,43.64,58.27
400,Million Manhoef,20,Eredivisie,Vitesse Arnhem,Attack,3050000.0,79.83,80.88,70.93,84.94,42.9,82.58
401,Jordan Zemura,22,Serie A,Udinese Calcio,Defender,3000000.0,68.81,32.46,64.51,42.59,74.51,93.65
402,Fabian Schar,30,Premier League,Newcastle United,Defender,3000000.0,81.25,64.5,73.37,75.15,83.37,93.13
403,Christopher Wooh,20,Ligue 1,Stade Rennais FC,Defender,3000000.0,42.28,21.64,20.86,25.54,43.23,78.72
404,Andras Schafer,23,Bundesliga,1.FC Union Berlin,midfield,3000000.0,34.82,33.9,29.18,36.77,27.42,39.44
405,Reinildo Mandava,28,La Liga,Atlético de Madrid,Defender,3000000.0,76.18,37.87,90.67,44.97,90.67,78.39
406,Simon Banza,25,Primeira Liga,SC Braga,Attack,3000000.0,70.46,79.43,55.91,71.28,39.63,75.24
407,Edon Zhegrova,23,Ligue 1,LOSC Lille,Attack,3000000.0,62.12,52.34,73.77,66.73,41.88,55.65
408,Nuno Tavares,22,Premier League,Arsenal FC,Defender,3000000.0,74.36,58.97,69.2,68.55,79.2,80.49
409,Diego Coppola,18,Serie A,Hellas Verona,Defender,3000000.0,71.96,32.46,71.39,37.89,84.39,94.16
410,Faitout Maouassa,24,Jupiler Pro League,Club Brugge KV,Defender,3000000.0,71.85,64.67,67.09,72.17,51.32,83.48
411,Alex Berenguer,27,La Liga,Athletic Bilbao,Attack,3000000.0,87.19,85.92,76.49,91.89,55.75,94.47
412,Pablo Maffeo,25,La Liga,RCD Mallorca,Defender,3000000.0,79.86,65.66,77.41,73.51,77.41,91.08
413,Chancel Mbemba,27,Ligue 1,Olympique Marseille,Defender,3000000.0,75.02,71.5,60.71,73.35,64.14,91.1
414,Ezri Konsa,24,Premier League,Aston Villa,Defender,3000000.0,81.31,66.73,71.33,76.0,81.33,96.59
415,Morato,21,Primeira Liga,SL Benfica,Defender,3000000.0,33.74,28.3,17.09,17.61,21.5,67.54
416,Lucas Robertone,25,Ligue 1,UD Almería,midfield,3000000.0,86.78,84.24,77.26,90.78,60.59,94.82
417,Brian Brobbey,20,Eredivisie,Ajax Amsterdam,Attack,3000000.0,74.58,82.96,59.71,75.93,41.42,79.73
418,Jaidon Anthony,22,Premier League,AFC Bournemouth,Attack,3000000.0,70.49,73.48,59.29,73.58,40.55,75.61
419,Jhon Lucumi,24,Serie A,Bologna FC 1909,Defender,3000000.0,75.41,57.78,69.68,67.27,79.68,85.0
420,Mikel Vesga,29,La Liga,Athletic Bilbao,midfield,3000000.0,80.61,81.47,64.94,83.71,55.71,92.32
421,Ramy Bensebaini,27,Bundesliga,Borussia Dortmund,Defender,3000000.0,79.13,54.07,73.84,58.41,91.34,92.93
422,Denzel Dumfries,26,Serie A,Inter Milan,midfield,3000000.0,78.48,76.55,68.6,82.27,60.53,86.5
423,Cenk Ozkacar,21,La Liga,Valencia CF,Defender,3000000.0,76.25,28.99,84.63,34.84,97.63,87.93
424,Guido Rodriguez,28,La Liga,Real Betis Balompié,midfield,3000000.0,81.38,77.27,56.74,77.13,82.03,89.09
425,Leon Bailey,24,Premier League,Aston Villa,Attack,3000000.0,76.53,77.32,64.84,81.05,41.21,82.91
426,Sergio Gomez,21,Premier League,Manchester City,Defender,3000000.0,59.39,19.84,61.98,26.64,74.98,73.96
427,Jerdy Schouten,25,Serie A,Bologna FC 1909,midfield,3000000.0,73.88,72.23,61.18,77.25,61.61,84.43
428,Mathias Olivera,24,Serie A,SSC Napoli,Defender,3000000.0,69.65,61.51,64.13,64.11,74.13,76.24
429,Lucas Torro,28,La Liga,CA Osasuna,midfield,3000000.0,71.67,74.44,53.24,74.17,51.4,84.84
430,Andrea Cambiaso,22,Serie A,Juventus FC,Defender,3000000.0,73.38,56.08,66.62,68.78,76.62,81.48
431,Edgar Gonzalez,25,Ligue 1,UD Almería,Defender,3000000.0,56.0,43.42,38.84,49.53,44.71,86.33
432,Marc Guehi,22,Premier League,Crystal Palace,Defender,3000000.0,82.68,68.01,75.56,74.66,85.56,94.94
433,Vitinho,22,Premier League,Burnley FC,Defender,3000000.0,50.02,14.81,46.5,27.84,59.5,66.25
434,Christian Kouame,24,Serie A,ACF Fiorentina,Attack,3000000.0,68.9,67.16,65.31,72.34,39.76,70.81
435,Aleksandr Golovin,26,Ligue 1,AS Monaco,midfield,3000000.0,84.95,84.47,79.26,88.59,56.42,87.47
436,Tomas Araujo,20,Primeira Liga,SL Benfica,Defender,3000000.0,57.03,41.39,42.31,45.61,63.0,77.19
437,Mohamed Simakan,22,Bundesliga,RB Leipzig,Defender,3000000.0,77.44,44.97,82.79,50.84,95.79,80.35
438,Mattias Svanberg,23,Bundesliga,VfL Wolfsburg,midfield,3000000.0,74.98,77.47,64.13,77.58,43.62,80.72
439,Ramon Terrats,21,La Liga,Villarreal CF,midfield,3000000.0,17.9,15.78,18.78,18.61,14.14,18.43
440,Yunus Musah,19,La Liga,Valencia CF,midfield,3000000.0,74.27,72.27,61.02,77.88,58.64,85.9
441,Serano Seymor,20,Eredivisie,Excelsior Rotterdam,Defender,2975000.0,52.58,56.42,32.98,41.36,40.1,72.41
442,Max Bruns,19,Eredivisie,Twente Enschede FC,Defender,2925000.0,29.33,14.43,17.83,18.45,14.99,66.04
443,Josh Flint,21,Eredivisie,FC Volendam,Defender,2900000.0,38.97,19.93,21.5,23.94,34.99,75.42
444,Filipe Relvas,22,Primeira Liga,Portimonense SC,Defender,2900000.0,67.99,57.85,57.46,67.73,61.96,84.43
445,Sven Nieuwpoort,29,Eredivisie,Excelsior Rotterdam,Defender,2875000.0,51.58,39.68,35.15,45.29,43.91,77.42
446,Leonardo Lelo,22,Primeira Liga,Casa Pia AC,Defender,2800000.0,63.48,47.11,53.99,57.93,52.27,89.72
447,Romaric Yapi,22,Eredivisie,Vitesse Arnhem,Defender,2800000.0,43.82,27.33,31.11,32.95,20.32,83.88
448,Joshua Eijgenraam,21,Eredivisie,Excelsior Rotterdam,midfield,2750000.0,30.17,27.05,23.76,29.88,30.98,32.77
